"","child_sex","cluster","EREP_1.1.1","EREP_1.1.2","EREP_1.2.1","EREP_1.2.2","EREP_1.3.1","EREP_1.3.2","EREP_4.1.1","EREP_4.1.2","EREP_4.2.1","EREP_4.2.2","EREP_4.3.1","EREP_4.3.2","EREP_6.1.1","EREP_6.1.2","EREP_6.2.1","EREP_6.2.2","EREP_6.3.1","EREP_6.3.2","EREP_7.1.1","EREP_7.1.2","EREP_7.2.1","EREP_7.2.2","EREP_7.3.1","EREP_7.3.2","EREP_8.1.1","EREP_8.1.2","EREP_8.2.1","EREP_8.2.2","EREP_8.3.1","EREP_8.3.2","EREP_10.1.1","EREP_10.1.2","EREP_10.2.1","EREP_10.2.2","EREP_10.3.1","EREP_10.3.2","EREP_2.1.1","EREP_2.1.2","EREP_2.2.1","EREP_2.2.2","EREP_2.3.1","EREP_2.3.2","EREP_3.1.1","EREP_3.1.2","EREP_3.2.1","EREP_3.2.2","EREP_3.3.1","EREP_3.3.2","EREP_5.1.1","EREP_5.1.2","EREP_5.2.1","EREP_5.2.2","EREP_5.3.1","EREP_5.3.2","EREP_9.1.1","EREP_9.1.2","EREP_9.2.1","EREP_9.2.2","EREP_9.3.1","EREP_9.3.2","EREP_12.1.1","EREP_12.1.2","EREP_12.2.1","EREP_12.2.2","EREP_12.3.1","EREP_12.3.2"
"150",2,16.1,5,5,NA,NA,5,4,5,1,NA,NA,5,4,3,6,NA,NA,4,4,3,2,NA,NA,3,4,2,2,NA,NA,5,4,5,6,NA,NA,5,5,5,2,NA,NA,5,4,5,2,NA,NA,4,4,4,1,NA,NA,2,4,6,6,NA,NA,5,5,5,6,NA,NA,4,5
"151",2,7.2,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,1,4,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,6,7,5,7,7,3,6,5,5,6,7,5
"152",2,10.3,5,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,4,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"153",2,2.1,NA,NA,NA,NA,6,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,6,2,NA,NA,NA,NA,3,1,NA,NA,NA,NA,5,3,NA,NA,NA,NA,5,4,NA,NA,NA,NA,5,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,7,5,NA,NA,NA,NA,7,2
"154",2,12.2,6,2,NA,NA,NA,NA,2,4,NA,NA,NA,NA,5,7,NA,NA,NA,NA,6,5,NA,NA,NA,NA,2,2,NA,NA,NA,NA,5,6,NA,NA,NA,NA,2,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,6,3,NA,NA,NA,NA,6,6,NA,NA,NA,NA
"155",2,16.1,3,4,NA,NA,4,7,3,4,NA,NA,1,1,5,4,NA,NA,6,7,5,4,NA,NA,2,7,3,4,NA,NA,1,7,4,6,NA,NA,5,7,3,4,NA,NA,4,1,3,4,NA,NA,1,1,3,4,NA,NA,1,1,6,4,NA,NA,6,7,5,6,NA,NA,7,7
"156",2,8.1,4,4,4,1,NA,NA,4,4,1,1,NA,NA,4,6,4,7,NA,NA,5,6,6,1,NA,NA,4,6,4,7,NA,NA,5,7,4,7,NA,NA,4,5,4,1,NA,NA,4,2,1,1,NA,NA,4,3,1,1,NA,NA,4,5,5,7,NA,NA,6,7,4,7,NA,NA
"157",2,21.1,4,1,4,2,4,4,4,2,4,1,4,4,4,2,4,1,4,4,4,6,4,1,4,4,4,2,4,1,4,4,4,6,4,5,4,4,4,2,4,2,4,4,4,1,4,1,4,4,4,2,4,1,4,4,5,6,4,6,4,4,6,7,4,6,4,4
"158",2,13.1,5,4,5,4,2,1,1,4,2,1,1,1,2,4,6,1,5,5,3,4,2,1,1,1,1,4,1,1,1,6,3,6,5,3,6,7,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,3,7,6,7,6,6,3,6,5,6,6,6,1
"159",1,22.1,2,5,1,4,6,4,1,5,1,4,4,1,1,5,1,4,7,1,5,4,1,4,6,1,1,4,1,4,4,4,1,7,1,4,6,4,1,4,1,4,1,3,1,1,1,4,4,1,1,1,1,4,4,1,7,7,7,4,6,7,7,4,7,4,7,4
"160",2,19.1,6,1,7,1,6,1,1,1,5,3,1,4,1,2,4,1,6,5,1,2,7,1,4,3,1,1,4,1,5,1,7,6,6,5,4,7,1,1,1,5,1,6,1,2,1,5,1,5,1,1,1,5,1,5,7,7,7,5,7,7,7,7,7,7,7,6
"161",1,13.1,6,4,6,4,1,4,5,1,6,1,1,1,4,2,4,2,2,2,3,6,4,1,2,1,3,1,4,1,1,1,3,6,6,2,2,5,6,1,4,2,5,6,6,1,4,1,5,1,6,1,3,1,4,1,2,7,5,7,2,7,3,7,6,7,5,6
"162",1,14.1,5,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,6,NA,NA,NA,NA,4,6,NA,NA,NA,NA,2,2,NA,NA,NA,NA,7,5,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,1,6,NA,NA,NA,NA,7,6,NA,NA,NA,NA
"163",2,13.2,5,5,NA,2,NA,NA,1,4,NA,1,NA,NA,3,6,NA,2,NA,NA,6,4,NA,4,NA,NA,1,3,NA,1,NA,NA,3,6,NA,4,NA,NA,1,6,NA,1,NA,NA,1,2,NA,1,NA,NA,1,3,NA,1,NA,NA,7,6,NA,7,NA,NA,7,6,NA,6,NA,NA
"164",1,18.2,5,4,7,4,5,4,1,1,1,1,1,1,1,2,7,5,5,4,4,4,3,1,1,1,1,1,2,1,1,1,5,4,5,5,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,6,5,6,7,6,5,7
"165",1,19.2,3,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,5,NA,NA,NA,NA,3,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,7,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"166",1,19.2,4,5,NA,NA,4,6,2,1,NA,NA,2,1,2,1,NA,NA,3,5,6,3,NA,NA,2,5,1,2,NA,NA,2,4,3,6,NA,NA,2,5,1,2,NA,NA,3,2,2,1,NA,NA,2,1,2,2,NA,NA,2,1,6,5,NA,NA,6,6,7,7,NA,NA,6,7
"167",1,18.1,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1,1,1,1,2,4,1,5,1,4,7,6,6,4,2,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,1,4,4,4,5,2,2,4,3
"168",1,10.4,4,2,NA,NA,5,1,1,1,NA,NA,1,1,1,1,NA,NA,3,1,1,1,NA,NA,1,1,6,1,NA,NA,3,1,6,3,NA,NA,6,1,3,1,NA,NA,2,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,5,6,NA,NA,3,7,6,1,NA,NA,3,2
"169",2,13.1,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,4,2.41721973043684,NA,NA,NA,NA,4,1.75826434851784,NA,NA,NA,NA,4,1.8000774823641,NA,NA,NA,NA,6,6,NA,NA,NA,NA,6,6,NA,NA,NA,NA
"170",1,4.1,6,6,7,5,7,6,3,5,2,4,3,4,6,6,7,7,7,7,1,1,6,5,2,7,3,4,6,4,3,4,7,6,7,5,7,6,2,2,6,5,6,5,1,4,1,1,1,1,1,1,1,1,2,4,6,6,5,7,6,7,7,5,6,6,7,6
"171",1,17.1,NA,NA,NA,NA,6,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,6
"172",1,3.2,5,1,4,1,2,1,2,1,5,1,1,1,1,5,2,5,1,5,6,6,1,3,2,2,5,3,1,1,2,2,5,6,2,6,2,6,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,4,6,2,6,3,7,5,7,6,7,6,6
"173",2,5.2,1,3,4,3,4,4,2,2,4,2,4,2,5,4,3,4,2,4,5,6,4,2,4,1,1,2,1,1,2,1,3,6,5,4,6,5,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,7,6,7,6,7,6,7,6,7,6,7,6
"174",1,15.1,4,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,7,NA,NA,NA,NA,7,6,NA,NA,NA,NA
"175",1,10.1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,7,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,6,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"176",1,4.1,4,4,NA,NA,5,1,1,1,NA,NA,1,1,1,3,NA,NA,7,4,1,7,NA,NA,1,1,1,1,NA,NA,2,1,6,7,NA,NA,5,4,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,7,7,NA,NA,7,7,7,7,NA,NA,6,7
"177",1,24.2,1,2,NA,NA,5,3,1,2,NA,NA,3,1,1,5,NA,NA,3,1,7,5,NA,NA,3,1,1,2,NA,NA,2,1,1,7,NA,NA,4,5,1,1,NA,NA,4,1,1,1,NA,NA,3,1,1,1,NA,NA,3,1,7,6,NA,NA,5,7,7,7,NA,NA,5,6
"178",1,7.1,1,4,4,1,4,3,1,1,4,1,1,1,1,5,1,6,1,5,1,5,1,1,1,2,1,1,4,1,1,1,1,5,5,5,5,5,1,1,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,7,5,7,1,7,1,6,3,7
"179",2,14.1,4,6,NA,NA,2,5,1,2,NA,NA,1,1,5,4,NA,NA,1,1,4,5,NA,NA,3,1,4,5,NA,NA,4,1,4,3,NA,NA,5,6,4,2,NA,NA,2,1,1,3,NA,NA,1,1,4,2,NA,NA,1,1,6,6,NA,NA,5,7,4,6,NA,NA,5,5
"180",1,14.1,5,2,NA,NA,4,2,2,1,NA,NA,2,1,2,2,NA,NA,5,5,3,6,NA,NA,2,2,2,2,NA,NA,2,1,6,3,NA,NA,6,6,2,2,NA,NA,2,1,2,1,NA,NA,2,1,2,1,NA,NA,2,1,4,5,NA,NA,4,5,5,6,NA,NA,6,5
