"","school_id","child_age","child_sex","father_education","mother_education","m_sec_t1","m_sec_t2","m_sec_t3","f_sec_t1","f_sec_t2","f_sec_t3","c_er_t1","c_er_t2","c_er_t3","mc_att_t1","mc_att_t2","mc_att_t3","fc_att_t1","fc_att_t2","fc_att_t3","rel_length","child_age","child_sex"
"48",12.2,4.88980150581793,1,"college education","college education",2.3,NA,3.2,1.8,NA,NA,3.83333333333333,3.83333333333333,4,3.27272727272727,NA,3.45454545454545,2.54545454545455,NA,NA,16.5,4.88980150581793,1
"49",7.2,4.58590006844627,0,"high school","college education",2.6,NA,NA,3.4,NA,NA,2.83333333333333,NA,3.66666666666667,3.63636363636364,NA,NA,3,NA,NA,10.343696585208,4.58590006844627,0
"50",19.3,4.91444216290212,0,"less than high school","high school",5.4,NA,NA,2.7,NA,NA,3.66666666666667,4,NA,3.54545454545455,NA,NA,2.54545454545455,NA,NA,8.58333333333333,4.91444216290212,0
"51",20.1,3.29363449691992,1,"college education","college education",2.5,1.6,1.8,3.9,3,2.9,NA,3.5,3.83333333333333,2.90909090909091,3.27272727272727,3.72727272727273,3.27272727272727,3.27272727272727,3.36363636363636,13,3.29363449691992,1
"52",7.2,4.05749486652977,1,"high school","college education",1.6,1.6,1.8,4,3.4,4.2,3.16666666666667,2.83333333333333,3.4,3.27272727272727,3.45454545454545,3.90909090909091,3.09090909090909,3.09090909090909,3,20.1666666666667,4.05749486652977,1
"53",16.2,4.47364818617385,0,"high school","high school",2.2,2.3,2.7,2.6,1.9,3,NA,3.5,3.5,2.27272727272727,2.63636363636364,2.54545454545455,3.81818181818182,3.09090909090909,3.18181818181818,10.4166666666667,4.47364818617385,0
"54",2.1,3.5564681724846,0,"college education","college education",2.6,3.9,NA,2,3.1,NA,3.83333333333333,3.83333333333333,3.83333333333333,2.72727272727273,2.72727272727273,NA,3,3,NA,11.5833333333333,3.5564681724846,0
"55",17.1,3.94798083504449,1,"high school","college education",3.3,3.4,4,3.9,2.8,3.4,3.83333333333333,3.66666666666667,4,3,2.90909090909091,3,2.54545454545455,2.36363636363636,3.09090909090909,10,3.94798083504449,1
"56",25.1,4.52292950034223,1,"high school","high school",2.6,2.2,3.8,NA,2.3,2.9,3,3.83333333333333,4,3.54545454545455,3.65316299783256,2.90909090909091,3.09090909090909,3.18181818181818,3.18181818181818,12.75,4.52292950034223,1
"57",5.2,3.5482546201232,0,"college education","college education",3.2,NA,3.1,3.3,NA,3.2,3.16666666666667,3,3.66666666666667,3.72727272727273,NA,4,2.81818181818182,NA,3.27272727272727,19.0833333333333,3.5482546201232,0
"58",3.3,4.63244353182752,1,"college education","college education",3.6,2.7,2.9,4.3,1.8,2.6,3.83333333333333,4,3.16666666666667,3.27272727272727,3.09090909090909,3.27272727272727,3.18181818181818,2.90909090909091,2.81818181818182,15.8333333333333,4.63244353182752,1
"59",14.1,4.50376454483231,1,"college education","college education",1.7,NA,3.125,2.3,NA,2.6,NA,NA,2.5,3.27272727272727,NA,3.09090909090909,2.27272727272727,NA,2.90909090909091,10,4.50376454483231,1
"60",3.3,3.52635181382615,0,"high school","college education",1.9,NA,2.4,2.4,NA,3.8,4,NA,NA,2.81818181818182,NA,3.27272727272727,3,NA,3.09090909090909,16,3.52635181382615,0
